ref_md,ref_count,sample_sources
docs/projectplan/task_checklist.md,8,"['project/TASK_CHECKLIST.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250808-oauth-unification-completion-report.md', 'project/reports/20250809-api-endpoints-completion-report.md']"
docs/projectplan/security.md,7,"['project/TASK_CHECKLIST.md', 'project/audit/AUDIT-PHASE-3.md', 'project/audit/AUDIT-phase-1.md', 'project/reports/20250808-comprehensive-auth-and-docs-update-report.md', 'project/reports/20250809-phase5-final-cleanup-report.md']"
docs/roadmap.md,7,"['project/TASK_CHECKLIST.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250809-phase5-endpoint-refactor-report.md', 'project/reports/20250809-phase5-final-cleanup-report.md']"
docs/projectplan/next_steps_and_phases.md,6,"['project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250808-oauth-unification-completion-report.md', 'project/reports/20250809-phase5-final-cleanup-report.md', 'project/reports/20250809-phase5-playlist-implementation-report.md']"
api/docs/MANUAL.md,6,"['project/audit/AUDIT-phase-1.md', 'project/reports/20250807-doc-clarification-completion-report.md', 'project/reports/20250808-comprehensive-auth-and-docs-update-report.md', 'project/reports/20250808-oauth-unification-completion-report.md', 'project/reports/20250809-phase5-playlist-implementation-report.md']"
task_checklist.md,6,"['project/LOW_LEVEL_DESIGN.md', 'project/LOW_LEVEL_DESIGN_previous.md', 'project/ROADMAP.md', 'project/reports/20250808-oauth-unification-completion-report.md', 'project/reports/20250809-phase5-final-cleanup-report.md']"
docs/projectplan/spotify_fullstack_capability_blueprint.md,6,"['project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250807-spotify-blueprint-completion-report.md', 'project/reports/20250809-phase5-final-cleanup-report.md', 'project/reports/20250809-phase5-playlist-implementation-report.md']"
docs/projectplan/spotify_capability_audit.md,6,"['project/TASK_CHECKLIST.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250809-phase5-final-cleanup-report.md', 'project/reports/20250809-phase5-playlist-implementation-report.md']"
docs/projectplan/privacy_compliance.md,6,"['project/TASK_CHECKLIST.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250809-phase5-final-cleanup-report.md', 'project/reports/20250809-phase5-playlist-implementation-report.md']"
docs/projectplan/spotify_gap_alignment_report.md,5,"['project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250809-phase5-final-cleanup-report.md', 'project/reports/20250809-phase5-playlist-implementation-report.md', 'project/reports/20250809-phase5-search-cleanup-report.md']"
docs/developer_guide.md,5,"['project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250809-phase5-final-cleanup-report.md', 'project/reports/20250809-phase5-playlist-implementation-report.md', 'project/reports/20250809-phase5-search-cleanup-report.md']"
docs/projectplan/HLD_Zotify_API.md,5,"['project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250809-phase5-final-cleanup-report.md', 'project/reports/20250809-phase5-playlist-implementation-report.md', 'project/reports/20250809-phase5-search-cleanup-report.md']"
